position,block_id,release_year,artist,title,intended_version,scene_or_country,route_tags,primary_teaching_job,selection_status,metadata_status,metadata_source_url,soundcloud_status,soundcloud_url,soundcloud_id,soundcloud_uploader,soundcloud_duration_ms,soundcloud_access,resolution_note,guide_anchor,notes
59,HH05,1989,Queen Latifah featuring Monie Love,Ladies First,original album version,New Jersey / United Kingdom,women; Black-feminist; transatlantic,Black feminist authority and transatlantic collaboration,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/52e9d95d-a41e-4a28-b5b3-a60f6b682757,resolved_exact,https://soundcloud.com/queenlatifahofficial/ladies-first,255982406,Queen Latifah,238733,open_or_monetized,Artist-catalog LP version; bonus beats and radio edits were rejected.,track-059,Recognition prompt
60,HH05,1989,De La Soul,Me Myself and I,original album version,Long Island / New York,Native-Tongues; sampling; alternative,Playful resistance to imposed image,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/wearedelasoul/me-myself-and-i-1,resolved_exact,https://soundcloud.com/wearedelasoul/me-myself-and-i-1,1395098347,De La Soul,229381,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-060,Canonical and potentially cliched
61,HH05,1988,Jungle Brothers,Straight Out the Jungle,original album version,New York,Native-Tongues; Afrocentric; house-exchange,Plural Black musical affiliations and scene formation,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/2a629d3d-3447-4c84-8c5e-8eb924675c65,resolved_exact,https://soundcloud.com/jungle-brothers/straight-out-the-jungle-1,630825705,JUNGLE BROTHERS,239569,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-061,Verify original mix
62,HH05,1990,A Tribe Called Quest,Can I Kick It?,original album version,Queens / New York,jazz-rap; Native-Tongues; call-response,Conversational crew feel and jazz-rock sample repurposing,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/735c7120-b098-47c1-99af-2f132a876b9c,resolved_exact,https://soundcloud.com/a-tribe-called-quest-official/can-i-kick-it-album-version,253510291,A Tribe Called Quest,210521,subscriber_catalog,Artist-catalog album version; longer compilation and extended-mix entries were rejected.,track-062,Canonical
63,HH05,1988,Eric B. & Rakim,Follow the Leader,original album version,New York,flow; lyrical-formalism,Extended flow control over ominous production,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/e4ea3b2d-b917-453e-bea0-0f66e15a88f9,resolved_exact,https://soundcloud.com/eric-b-and-rakim/follow-the-leader,253544915,Eric B. & Rakim,336901,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-063,Canonical
64,HH05,1988,Big Daddy Kane,Ain't No Half-Steppin',original album version,Brooklyn / New York,battle; virtuosity,Polished rhythmic virtuosity and command,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/bigdaddykaneofficial/big-daddy-kane-aint-no-half,resolved_exact,https://soundcloud.com/bigdaddykaneofficial/big-daddy-kane-aint-no-half,231713032,Big Daddy Kane,319948,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-064,Canonical
65,HH05,1990,Kool G Rap & DJ Polo,Streets of New York,original album version,Queens / New York,street-reportage; narrative,Dense street reportage before mafioso formalization,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/3f924981-ecea-46d7-b3d8-83d3c7245219,resolved_probable_exact,https://soundcloud.com/mike-jones-164/kool-g-rap-streets-of-new-york,415471728,Mike Jones 1013,260308,open_or_monetized,Publisher metadata and duration match the album recording; uploader is not artist-controlled.,track-065,Verify album version
66,HH05,1988,N.W.A,Straight Outta Compton,original album version,Compton / California,gangsta; regional-system; political,Regional force social report and market shock,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/62f24090-70fa-4846-bcbf-83319021643c,resolved_exact,https://soundcloud.com/nwaofficial/straight-outta-compton-3,274443895,N.W.A,257489,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-066,Contextualize misogyny and media construction
67,HH05,1988,Ice-T,Colors,original soundtrack version,Los Angeles,gangsta; narrative; soundtrack,Gang identity narrative and film circulation,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/dca66e34-83d8-4549-b403-33fff3840c45,unavailable_exact,,,,,,The artist-catalog entry is explicitly a 2014 remaster and user results were uncertain; the original soundtrack master remains guide-only.,track-067,Exact soundtrack/single version verify
68,HH05,1991,Geto Boys,Mind Playing Tricks on Me,original album version,Houston,Southern; psychological; narrative,Paranoia vulnerability and Southern national breakthrough,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/60e0ad5e-54c1-4536-8aaf-7788af9e420a,resolved_exact,https://soundcloud.com/getoboys/mind-playing-tricks-on-me,287778735,Geto Boys,308767,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-068,Canonical
69,HH05,1991,DJ Quik,Tonite,original album version,Compton / California,West-Coast; funk; producer-MC,Producer-MC swing and everyday narrative,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/djquikofficial/tonite,resolved_exact,https://soundcloud.com/djquikofficial/tonite,254062978,DJ Quik,323318,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-069,Verify clean/sample-altered variants
70,HH05,1990,Too $hort,The Ghetto,original album version,Oakland / California,Bay-Area; social-reportage; funk,Bay Area social report beyond party persona,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/a02ddc30-13b1-4a49-a0ff-6f0b90ccc91a,resolved_exact,https://soundcloud.com/officialtooshort/the-ghetto-1,445091841,Too $hort,302315,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-070,Exact title typography
71,HH05,1991,Organized Konfusion,Fudge Pudge,original album version,Queens / New York,lyrical; abstract; duo,Dense multi-MC formalism and eccentric production,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/9364a7bb-962a-47d0-a825-e9d086f3b5e5,resolved_exact,https://soundcloud.com/organized-konfusion/fudge-pudge-1,1149679780,Organized Konfusion,331076,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-071,Deep-route choice
72,HH05,1991,Main Source,Live at the Barbeque,original album version,New York / Toronto,posse-cut; producer-MC; debut,Posse cut as scene introduction including Nas debut,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/2f894175-c11e-46e1-a93b-6045763b9a57,resolved_probable_exact,https://soundcloud.com/hiphop-classics1/main-source-live-at-the-barbeque-1991,319641068,Hip Hop Classics,259707,open_or_monetized,Full user upload appears to match the album recording; remixes and short excerpts were rejected.,track-072,Canadian-US production circuit
73,HH05,1991,Yo-Yo featuring Ice Cube,You Can't Play with My Yo-Yo,original Make Way for the Motherlode version,Los Angeles,women; West-Coast; Black-feminist,Woman MC authority and gender argument inside the West Coast system,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/d2a2edd8-f485-44be-b57c-99d3f5ac7817,resolved_exact,https://soundcloud.com/yoyo41/yo-yo-you-cant-play-with-my-yo,232331828,Yo-Yo,304799,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-073,Feature and album version verify
74,HH05,1992,Arrested Development,Tennessee,original album version,Atlanta,Southern; spirituality; memory,Southern spirituality memory and crossover,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/70829644-5fa5-46a0-b0dd-e36b47655801,resolved_exact,https://soundcloud.com/arrested-development-official/tennessee,252889503,Arrested Development,272796,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-074,Confirmed Tom recognition anchor
75,HH05,1991,Cypress Hill,How I Could Just Kill a Man,original Cypress Hill album version,Los Angeles,Latino; West-Coast; sample; street,Latino Los Angeles authorship and a distinct sample-heavy West Coast language,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/c059b614-2b75-4dfa-8b84-57d075ccda83,resolved_exact,https://soundcloud.com/cypress-hill/how-i-could-just-kill-a-man-1,254097047,Cypress Hill,252240,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-075,Verify album versus single mix
76,HH05,1991,IAM,Red Black and Green,original ...De la planète Mars album version,Marseille / France,French-rap; political; global,Marseille identity and political color symbolism,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/1a308a52-9f8b-4b34-a208-d0e3faa645ff,resolved_exact,https://soundcloud.com/iam-74571/red-black-and-green-1,265521370,IAM,304405,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-076,Title/version verify
77,HH05,1990,Vico C,La Recta Final,original Hispanic Soul version,Puerto Rico,Spanish-language; Puerto-Rican-rap; Caribbean,Puerto Rican rap infrastructure and Spanish-language authority,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/757ac47d-6e68-4d17-b9f8-ce9001c21345,resolved_exact,https://soundcloud.com/vico-c-official/la-recta-final,324166123,Vico C,391925,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-077,Exact 1989/1990 release chronology and master verify
78,HH05,1990,Prophets of Da City,Our World,original album version,Cape Town / South Africa,anti-apartheid; African-hip-hop; political,Early South African localization and political address,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Our+World%22+AND+artist%3A%22Prophets+of+Da+City%22&fmt=json&limit=8,unavailable_exact,,,,,,No Prophets of Da City recording matching this title was found; same-title results were unrelated.,track-078,Release metadata audit required
79,HH05,1988,London Posse,Money Mad,original version,London / United Kingdom,UK-rap; Caribbean-British; accent,British and Caribbean vocal identity against US imitation,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/bf888d81-e5c5-434b-8add-a01fc4bc9614,unavailable_exact,,,,,,"The artist catalog exposes later remixes, not the intended original.",track-079,Resolve 1988 single versus 1990 album form
80,HH05,1990,Monie Love,Monie in the Middle,original album version,London / New York,women; UK-rap; Native-Tongues,British woman MC inside a transatlantic scene,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/349bd1df-d67c-435d-b04c-2d982e36675f,resolved_exact,https://soundcloud.com/monie-love-official/monie-in-the-middle,267360897,Monie Love,224862,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-080,Verify UK/US issue differences
81,HH06,1992,Dr. Dre featuring Snoop Doggy Dogg,Nuthin' but a 'G' Thang,original The Chronic album version,Los Angeles / Long Beach,G-funk; producer-auteur; flow,G-funk synthesis and producer-centered album world,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/d571e6b7-bbf2-4dd3-bf76-3806a3c11f25,resolved_exact,https://soundcloud.com/dr-dre-music/nuthin-but-a-g-thang,257475639,Dr. Dre,237573,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-081,Canonical
82,HH06,1993,Snoop Doggy Dogg,Gin and Juice,original Doggystyle album version,Long Beach / California,G-funk; persona; flow,Relaxed flow and domestic party narrative,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/eb2b666c-c04f-41a5-90cc-5755c98f7245,resolved_exact,https://soundcloud.com/snoopdogg/gin-and-juice-6,1496998453,Snoop Dogg,211540,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-082,Canonical
83,HH06,1993,2Pac,Keep Ya Head Up,original album version,California,message; women; social-critique,Popular political address on misogyny poverty and survival,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/da3bb7bc-f9cc-4f29-8cd5-67ac3cff7503,resolved_exact,https://soundcloud.com/2pac/keep-ya-head-up,252536699,2Pac,262557,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-083,Contextualize contradiction across catalog
84,HH06,1993,Wu-Tang Clan,C.R.E.A.M.,original album version,Staten Island / New York,crew; dusty-sampling; street-reportage,Crew mythology and economic street report,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/wu-tang-clan-official/c-r-e-a-m-album-version,resolved_exact,https://soundcloud.com/wu-tang-clan-official/c-r-e-a-m-album-version,252772725,Wu-Tang Clan,252056,subscriber_catalog,Artist-catalog album version; a shorter user upload was rejected.,track-084,Canonical and cliched because indispensable
85,HH06,1994,Nas,N.Y. State of Mind,original Illmatic album version,Queensbridge / New York,lyrical; boom-bap; narrative,Interior rhyme scene-setting and producer anthology model,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/28ca75db-8326-4ae9-b916-dbc6d9be6c26,resolved_exact,https://soundcloud.com/nasirjones/n-y-state-of-mind-1,290148866,Nasir Jones,292049,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-085,Canonical
86,HH06,1994,The Notorious B.I.G.,Warning,original Ready to Die album version,Brooklyn / New York,narrative; mafioso; flow,Telephone-frame suspense and vocal character control,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/28b09f0a-b322-417b-b6b9-d851d2e5165e,unavailable_exact,,,,,,The artist-catalog entry is explicitly a 2005 remaster; the original album master remains guide-only.,track-086,Avoid reducing artist to coastal rivalry
87,HH06,1995,Mobb Deep,Shook Ones Pt. II,original album version,Queensbridge / New York,hardcore; minimal; street,Severe loop economy and collective menace,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/mobbdeepqb/shook-ones-pt-ii,resolved_exact,https://soundcloud.com/mobbdeepqb/shook-ones-pt-ii,254207778,Mobb Deep,327236,subscriber_catalog,Artist-catalog album recording; the entry labeled remastered LP was rejected.,track-087,Canonical
88,HH06,1993,Boss,Deeper,original Born Gangstaz album version,Detroit / Los Angeles,women; Midwest; gangsta,A Detroit woman MC's forceful intervention in gangsta-rap marketing and performance,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/b6498450-6137-4f94-8b66-93591de3d3b3,resolved_exact,https://soundcloud.com/the-boss-official/deeper-album-version,259046177,The Boss,241607,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-088,Contextualize label-manufactured biography debates
89,HH06,1996,Bone Thugs-N-Harmony,Tha Crossroads,preferred 1996 remix/single version,Cleveland / Ohio,Midwest; melodic-flow; mourning,Rapid melodic ensemble flow and Midwestern national breakthrough,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/dcf60a47-1815-43c2-97cd-627b92a311c3,resolved_exact,https://soundcloud.com/bonethugsnharmony/tha-crossroads-1,278532466,Bone Thugs-N-Harmony,223582,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-089,Known original/remix distinction must be fixed
90,HH06,1993,The Coup,Dig It!,original album version,Oakland / California,political; funk; radical,Radical politics wit and Bay Area funk,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/10985d55-544e-4113-b4c6-be9280964a91,unavailable_exact,,,,,,Only an edit and unrelated same-title recordings were found.,track-090,Recognition prompt
91,HH06,1994,Outkast featuring CeeLo,"Git Up, Git Out",original Southernplayalistic album version,Atlanta,Southern; Organized-Noize; message,Southern self-determination and Dungeon Family ecology,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/fb1f0971-bdcb-49d7-a720-d0126d4c7e38,resolved_exact,https://soundcloud.com/outkast-music/git-up-git-out-1,253850309,Outkast,447060,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-091,Exact feature credits verify
92,HH06,1995,Goodie Mob,Cell Therapy,original Soul Food album version,Atlanta,Southern; political; paranoia,Collective political paranoia and Southern gothic atmosphere,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/goodie-mob-music/cell-therapy-1,resolved_exact,https://soundcloud.com/goodie-mob-music/cell-therapy-1,302521123,Goodie Mob Music,277185,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-092,Canonical regional anchor
93,HH06,1996,UGK,One Day,original Ridin' Dirty album version,Port Arthur / Houston,Southern; mortality; funk,Texas narrative melancholy and regional independence,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/58f9a274-9ab6-40ef-81d9-06f4dc14b22a,unavailable_exact,,,,,,The artist catalog offers a radio version and the user uploads did not securely match the album master.,track-093,Verify feature credits
94,HH06,1995,Three 6 Mafia,Da Summa,original Mystic Stylez album version,Memphis,Memphis; cassette-lineage; dark,Memphis atmosphere beyond horror caricature,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/1eb09768-d071-4cf8-9322-7c828bf61f46,unavailable_exact,,,,,,Only chopped-and-screwed or otherwise altered uploads were found.,track-094,Original album master required
95,HH06,1996,DJ Screw and Screwed Up Click,June 27th Freestyle,original June 27 mixtape performance,Houston,chopped-and-screwed; mixtape; freestyle,Screw culture as collective listening practice,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22June+27th+Freestyle%22+AND+artist%3A%22DJ+Screw+and+Screwed+Up+Click%22&fmt=json&limit=8,unavailable_exact,,,,,,Search results did not establish an exact DJ Screw and Screwed Up Click June 27 performance.,track-095,Long-form object; exact tape chapter and excerpt policy needed
96,HH06,1992,DJ Jimi feat. Juvenile,Bounce (For the Juvenile),original It's Jimi album version,New Orleans,bounce; dance; regional,Early New Orleans bounce vocal and rhythmic practice,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/djjimi-music/bounce-for-the-juvenile,resolved_exact,https://soundcloud.com/djjimi-music/bounce-for-the-juvenile,582766992,DJ Jimi,284760,open_or_monetized,"Official catalog upload matches the 4:44 recording on DJ Jimi's 1992 It's Jimi album; Juvenile is the featured vocalist, not the primary artist.",track-096,Corrected attribution and year
97,HH06,1993,DJ Jubilee,Do the Jubilee All,original version,New Orleans,bounce; dance-instruction; DJ,Dance instruction and local participatory function,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/b1cd1cf9-8209-4a92-9fbc-1b7e86a4e7df,resolved_probable_exact,https://soundcloud.com/user-843129432/dj-jubilee-jubilee-all,915563650,DJ2Nappi,261904,open_or_monetized,User upload matches the intended title and performance; provenance remains informal.,track-097,Exact release source required
98,HH06,1994,Common,I Used to Love H.E.R.,original album version,Chicago,allegory; critique; Midwest,Allegorical hip-hop criticism and contested gendering,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/thinkcommon/i-used-to-love-h-e-r-1,resolved_exact,https://soundcloud.com/thinkcommon/i-used-to-love-h-e-r-1,562452999,ThinkCommon,278753,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-098,Recognition prompt; include competing readings
99,HH06,1994,Da Brat,Funkdafied,original album version,Chicago / Atlanta,women; Midwest-South; G-funk,Woman MC crossover through a Chicago-Atlanta production circuit,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/cc094b27-d486-40d1-8311-f1a99ae73f9a,resolved_exact,https://soundcloud.com/da-brat-official/funkdafied-1,253510612,Da Brat,185966,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-099,Verify remix variants
100,HH06,1996,Bahamadia,Uknowhowwedu,original Kollage album version,Philadelphia,women; flow; jazz-rap,Understated rhythmic precision and Philadelphia scene,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/af592c52-3727-4263-87c8-eeb7402ae622,resolved_exact,https://soundcloud.com/bahamadia/uknowhowwedu,252668632,Bahamadia,214955,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-100,Deep-route anchor
101,HH06,1993,IAM,Je danse le mia,original Ombre est lumière album version,Marseille / France,French-rap; memory; dance,Local memory and ironic dance-floor reconstruction,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/956550d1-5837-4493-b518-49720f1d7181,resolved_exact,https://soundcloud.com/iam-74571/je-danse-le-mia,254897737,IAM,267285,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-101,Resolve radio versus album mix
102,HH06,1994,MC Solaar,Nouveau Western,original Prose Combat album version,France,French-rap; literary; sampling,French narrative and Gainsbourg sampling,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/9276b17a-c7d8-45d5-8b14-70c206335baa,resolved_exact,https://soundcloud.com/mc-solaar-official/nouveau-western,1130163922,MC Solaar,274077,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-102,Rights/version availability may vary
103,HH06,1993,Racionais MC's,Homem na Estrada,original Raio X do Brasil version,São Paulo / Brazil,Brazilian-rap; political; periphery,Peripheral urban reportage in Portuguese,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/ab56edae-3b98-4a28-9527-4e5a5a9dfd35,resolved_exact,https://soundcloud.com/racionaismcsofficial/homem-na-estrada,318474111,Racionais MC's,521949,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-103,Release/source audit required
104,HH06,1994,Prophets of Da City,Never Again,original Age of Truth version,Cape Town / South Africa,anti-apartheid; political; African-hip-hop,Direct anti-apartheid address during political transition,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/d49d4851-4a9d-4b40-92d1-1262f57f3a50,unavailable_exact,,,,,,The available user upload could not be matched securely to the original album master.,track-104,Verify date and version
105,HH06,1996,Kaliber 44,Plus i minus,original Księga Tajemnicza. Prolog version,Katowice / Poland,Polish-rap; experimental; language,Polish-language dark experimentation and local scene formation,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/olacekala6/plus-i-minus-kaliber-44,resolved_exact,https://soundcloud.com/olacekala6/plus-i-minus-kaliber-44,2167155210,Szefowa,298867,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-105,Metadata/source audit required
106,HH06,1995,Positive Black Soul,Boul ma mine,preferred original version,Dakar / Senegal,Senegalese-rap; Wolof/French; political,West African localization language and social address,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/d91ef555-632a-4bb4-ade2-cd9b193256a3,unavailable_exact,,,,,,No exact Positive Black Soul recording was found; same-title results were unrelated.,track-106,Exact spelling version and date verify
107,HH07,1996,The Roots,What They Do,original Illadelph Halflife album version,Philadelphia,live-band; critique; video,Critique of commercial performance and video convention,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/05979dba-2d9e-443f-9525-f5dc76b826fa,resolved_exact,https://soundcloud.com/the_roots/what-they-do-2,256248787,the_roots,357251,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-107,Confirmed Tom recognition anchor; representative may change
108,HH07,1998,Black Star,Definition,original album version,New York,lyrical; community; anti-violence,Lyrical community and anti-violence address,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8f4c91c3-acc4-4c1f-83a2-e9e0ba06aedc,resolved_exact,https://soundcloud.com/black-star-official/definition,252485639,Black Star,206569,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-108,Recognition prompt
109,HH07,2000,dead prez,Hip-Hop,original Let's Get Free album version,New York,political; bass; critique,Political critique delivered through severe low-end economy,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/ce7f367e-bc2f-4759-83d5-ff607b26b60e,resolved_exact,https://soundcloud.com/dead-prez-official/hip-hop-1,253512663,Dead Prez,214100,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-109,Recognition prompt
110,HH07,1998,Lauryn Hill,Lost Ones,original Miseducation album version,New Jersey,women; battle; singer-MC,Battle address arrangement and singer-MC authorship,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/09ddbb79-4fec-468d-b300-aa1f95f837c0,resolved_exact,https://soundcloud.com/lauryn-hill-official/lost-ones,253540130,Lauryn Hill,334237,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-110,Canonical
111,HH07,1997,Missy Elliott,The Rain (Supa Dupa Fly),original album version,Virginia,women; Timbaland; experimental-pop,Timbre negative space video imagination and producer-MC partnership,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8f6eecdb-9508-4276-b7df-9e6b12fe8011,resolved_exact,https://soundcloud.com/missyelliott/the-rain-supa-dupa-fly,255814649,Missy Elliott,251037,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-111,Canonical
112,HH07,2000,Eminem featuring Dido,Stan,original The Marshall Mathers LP album version,Detroit,narrative; correspondence; celebrity,Epistolary narrative unreliable interpretation and fan-artist distance,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/eminemofficial/stan-album-version-explicit,resolved_exact,https://soundcloud.com/eminemofficial/stan-album-version-explicit,256256955,Eminem,404140,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-112,Contextualize misogyny and later cultural shorthand
113,HH07,1997,Company Flow,8 Steps to Perfection,original Funcrusher Plus version,New York,independent; underground; experimental,Independent-label counterpublic and abrasive abstraction,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8ddc4048-0f83-47fb-bd1f-d86b636a218f,resolved_exact,https://soundcloud.com/papa-sensi/8-steps-to-perfection-better,437807430,Papa Sensi,281365,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-113,Deep-route anchor
114,HH07,1999,Mos Def,Mathematics,original Black on Both Sides album version,New York,political; lyrical; DJ-Premier,Numerical political litany and boom-bap craft,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8b2b74e0-4b7b-436e-9550-49f04f6b88d3,resolved_exact,https://soundcloud.com/mos-def-official/mathematics,253524881,Mos Def,246540,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-114,Likely Tom route
115,HH07,1999,MF DOOM,Doomsday,original Operation: Doomsday version,New York,abstract; persona; independent,Mask persona collage humor and independent rebirth,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/2356e949-f493-4911-afb1-de0d470b51dc,resolved_exact,https://soundcloud.com/mf-doom-official/doomsday,300793387,MF Doom,298162,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-115,Original Fondle 'Em master preferred
116,HH07,2000,Rah Digga,Tight,original Dirty Harriet album version,New Jersey / New York,women; lyrical; Flipmode,Technical woman MC authority inside late-1990s crew and album systems,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/1f653804-8699-48f5-94f6-1a465f78b0ee,resolved_exact,https://soundcloud.com/rah-digga-official/tight-original-version,254200504,Rah Digga,194342,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-116,Version verify
117,HH07,1998,Gang Starr,Moment of Truth,original album version,New York,lyrical; boom-bap; reflection,Mature moral reflection within a classic duo grammar,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/5286d7f4-6855-4b0a-abfd-ec402d5ec83e,resolved_exact,https://soundcloud.com/gang-starr-official/moment-of-truth,253097242,Gang Starr,247428,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-117,Potential Tom anchor
118,HH07,1996,DJ Shadow,Midnight in a Perfect World,original Endtroducing album version,Bay Area,instrumental; sampling; producer,Instrumental hip-hop as album-scale emotional composition,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/c9ac422c-adc1-4411-86c2-9be463ec4b49,resolved_exact,https://soundcloud.com/djshadow/midnight-in-a-perfect-world-2,255826054,DJ Shadow,298527,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-118,Canonical producer route
